ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,diffic
1,21.798202394816204,183,73,1,1,0,306.15,5.3573794,0.9000000000000341,1.1720225,0.390625,258,52,317,0,1,0
1,21.798202394816204,183,73,1,1,0,306.70000000000005,5.4963155,0.19999999999998863,1.0690781,0.4,263,52,322,0,1,0
1,21.798202394816204,183,73,1,1,0,306.95000000000005,5.2833166,0.30000000000001137,1.0423125,0.4090909,268,52,327,0,1,0
1,21.798202394816204,183,73,1,1,0,307.25,5.8143888,0.2999999999999545,1.1293006,0.41791046,273,52,332,0,1,0
1,21.798202394816204,183,73,1,1,0,307.5,5.584751,0.20000000000004547,1.0618719,0.42647058,278,52,337,0,1,0
1,21.798202394816204,183,73,1,1,0,307.70000000000005,5.7229285,0.19999999999998863,1.2332745,0.4347826,283,52,342,0,1,0
1,21.798202394816204,183,73,1,1,0,308,5.4761076,0.39999999999997726,0.97591335,0.42857143,288,52,347,0,1,0
1,21.798202394816204,183,73,1,1,0,308.45,4.8522873,0.5,1.0160617,0.43661973,292,52,351,0,1,0
1,21.798202394816204,183,73,1,1,0,308.6,5.3309293,-0.19999999999998863,1.1159178,0.44444445,292,57,356,0,1,0
1,21.798202394816204,183,73,1,1,0,308.85,6.1952467,0.6999999999999886,1.1200355,0.4520548,298,57,362,0,1,0
1,21.798202394816204,183,73,1,1,0,309.4,5.570538,0.4000000000000341,1.1308447,0.45945945,303,57,367,0,1,0
1,21.798202394816204,183,73,1,1,0,309.70000000000005,5.9414563,0.19999999999998863,1.1560661,0.46666667,308,57,372,0,1,0
1,21.798202394816204,183,73,1,1,0,309.85,5.7650647,0.0999999999999659,1.1725372,0.47368422,313,57,377,0,1,0
1,21.798202394816204,183,73,1,1,0,309.9,5.8237753,0,1.2126856,0.48051947,313,57,382,0,1,0
1,21.798202394816204,183,73,1,1,0,309.85,6.1982827,-0.0999999999999659,1.2641578,0.4871795,313,63,388,0,1,0
1,21.798202394816204,183,73,1,1,0,310.35,6.000933,1.099999999999966,1.0618719,0.49367088,319,63,394,0,1,0
1,21.798202394816204,183,73,1,1,0,311.29999999999995,5.4163237,0.8000000000000114,1.1004761,0.5,324,63,399,0,1,0
1,21.798202394816204,183,73,1,1,0,312,6.1698446,0.6000000000000227,1.2013617,0.50617284,330,63,405,0,1,0
1,21.798202394816204,183,73,1,1,0,312.9,5.6206098,1.1999999999999886,1.09327,0.5121951,335,63,410,0,1,0
1,21.798202394816204,183,73,1,1,0,313.5,4.878687,0,1.0582689,0.5180723,335,63,414,0,1,0
1,21.798202394816204,183,73,1,1,0,313.45,5.1359854,-0.10000000000002274,1.2255536,0.52380955,335,68,419,0,1,0
1,21.798202394816204,183,73,1,1,0,313.54999999999995,5.155045,0.30000000000001137,1.1540072,0.5294118,340,68,424,0,1,0
1,21.798202394816204,183,73,1,1,0,314.1,4.567236,0.8000000000000114,0.93679446,0.5232558,344,68,428,0,1,0
1,21.798202394816204,183,73,1,1,0,314.85,5.12696,0.6999999999999886,0.89046943,0.51724136,349,68,433,0,1,0
1,21.798202394816204,183,73,1,1,0,315.6,5.1654286,0.8000000000000114,0.88377804,0.5113636,354,68,438,0,1,0
1,21.798202394816204,183,73,1,1,0,317.2,5.2455645,2.3999999999999773,1.0438566,0.5168539,359,68,443,0,1,1
1,21.798202394816204,183,73,1,1,0,319.2,5.332367,1.6000000000000227,0.93061775,0.51111114,364,68,448,0,1,1
1,21.798202394816204,183,73,1,1,0,320.35,5.2498617,0.6999999999999886,1.1035645,0.51648355,369,68,453,0,1,1
1,21.798202394816204,183,73,1,1,0,321.45,5.1205287,1.5,0.90488166,0.51086956,374,68,458,0,1,1
1,21.798202394816204,183,73,1,1,0,322.4,4.5801206,0.4000000000000341,1.0103997,0.516129,378,68,462,0,1,1
1,21.798202394816204,183,73,1,1,0,323.6,5.9298754,2,0.8719394,0.5106383,383,68,467,0,1,1
